CNF
!x36 x10 x90
!x83 x10 !x94
!x68 !x46 x10
x10 !x82 !x45
x10 !x86 x5
x10 x3 !x21
x10 !x85 !x18
x11 x10 !x16
x72 x63 x10
x62 x89 x10
x76 x59 x10
x10 !x10 !x37
x10 x84 x78
!x52 !x29 x10
x10 x69 !x6
x2 x10 !x101
x10 !x82 !x100
!x32 !x31 x10
x10 !x21 !x2
x7 x72 x10
!x98 x31 x10
!x99 x10 x92
x55 x10 !x87
x10 !x82 x88
x15 x10 !x96
!x90 x10 !x53
x10 x100 !x14
x10 !x23 !x73
x60 x10 !x50
