DNF
!x47 !x94 x13
!x101 !x13 x75
!x93 !x22 x56
x34 !x51 x68
x72 !x50 x85
x79 x77 !x19
x66 x96 x30
!x29 !x2 !x79
x80 x26 x3
x34 !x38 !x57
x61 !x21 !x26
!x43 x4 x100
x38 !x79 x66
x18 x47 !x47
x61 x57 x12
!x55 !x71 !x25
!x100 x44 !x49
x57 x84 !x57
x58 !x45 x88
!x8 !x50 !x97
!x27 !x1 !x87
!x92 x69 x82
!x48 !x49 x56
!x22 !x85 !x83
!x39 !x100 !x24
x72 !x29 x20
!x12 x89 x72
x77 x76 x2
!x87 !x35 x1
!x95 !x33 x17
!x5 x23 x25
!x68 !x54 x96
x91 !x3 !x100
x2 !x90 x15
x63 !x28 !x11
x52 x39 !x31
x73 !x11 !x60
x22 !x63 !x79
x59 x5 !x19
x65 !x59 x99
x31 !x33 x23
!x61 x4 x20
!x89 !x88 x63
x13 x16 x99
x9 x13 !x1
x37 x59 x72
!x27 !x73 !x84
!x42 x48 x11
x71 !x37 x19
!x76 !x24 !x101
x54 !x50 !x28
x13 !x36 x19
!x62 !x83 !x99
!x46 x7 x97
!x38 x41 x22
!x25 x55 !x64
x1 !x55 x76
!x35 !x79 !x90
x51 x56 x14
!x3 x64 !x19
