CNF
!x77 x7 !x8
!x84 x81 !x58
!x77 x55 x8
x64 x87 x91
!x49 x89 x56
!x81 x23 !x50
!x92 !x10 !x80
x20 !x94 !x100
x89 x36 !x23
!x9 !x51 !x46
!x74 x46 !x50
!x77 x32 x56
x26 x75 x77
!x98 x26 !x47
x7 x67 x46
!x15 x60 x18
x59 !x32 x22
!x17 x51 !x89
x50 !x37 !x31
!x97 !x60 x30
x69 !x24 !x101
!x4 x30 x5
!x43 !x57 x5
x98 x50 !x93
!x47 !x75 x92
x62 x71 !x74
!x14 x9 !x52
x37 !x40 x64
!x97 !x78 !x15
!x88 !x3 x62
x49 !x39 !x4
x14 x26 x60
x70 !x85 !x30
x24 x99 !x35
x43 x62 !x13
!x60 !x18 !x1
x51 !x72 x81
x99 x91 x7
x80 x76 x99
x32 !x8 x62
!x6 x97 x88
x78 !x26 !x46
!x63 !x88 !x37
x20 x66 x26
x89 !x26 x33
!x71 x87 !x59
x14 !x41 !x56
!x81 !x9 x14
x100 !x30 !x51
!x78 x9 !x25
!x45 !x46 x78
x19 !x58 x91
!x89 x18 !x43
x10 x66 x17
!x91 !x79 !x56
!x63 x34 x96
x17 x73 x31
x51 x60 !x14
x78 x65 !x92
!x34 !x22 !x10
x94 !x65 x19
!x21 !x44 !x93
!x93 !x93 x61
!x7 x19 x11
x38 x97 x95
x85 x34 !x80
!x29 !x43 !x47
x15 x71 !x3
x87 x43 !x50
!x40 x20 x97
x91 !x79 x31
!x65 x19 x5
x31 !x57 x64
!x76 x87 !x44
!x20 x34 x40
x12 !x80 !x41
!x12 !x27 x99
x72 !x75 x56
!x20 x93 x18
!x88 !x10 !x22
x62 x74 !x99
x45 x86 x53
!x77 x20 !x100
x81 x57 !x17
!x61 x89 !x16
x73 x61 !x75
x24 !x5 !x54
!x68 x48 x93
x86 !x84 !x35
x41 x41 x15
!x3 !x98 x89
!x90 x7 x4
!x93 !x93 !x93
x41 !x31 x66
x26 x1 x94
!x82 x21 !x37
x48 !x99 x26
x55 x78 x67
x38 !x30 !x20
x78 x40 x80
!x7 !x36 !x101
x72 !x5 x25
!x39 !x38 !x55
!x13 x46 !x25
!x86 x8 !x70
x18 !x80 !x53
!x76 !x37 !x6
!x33 x33 !x23
!x38 !x88 !x38
x13 !x83 x78
!x89 !x101 !x55
!x30 x82 !x41
!x97 !x67 !x51
x29 x19 x73
x52 !x89 !x93
!x100 !x6 !x71
!x63 !x95 !x65
!x14 !x52 x4
x42 !x50 !x63
x58 !x38 !x66
!x99 !x45 !x58
x92 x51 !x88
!x7 x48 !x9
!x79 !x85 x53
!x83 x54 x49
x35 !x100 !x12
x39 !x75 x33
x42 !x80 x52
!x101 x57 !x72
!x39 x90 x37
