CNF
!x39 !x52 x56
!x49 !x21 x3
!x33 x29 !x88
!x67 x22 x27
!x36 !x50 x24
x85 x51 !x8
!x17 !x50 !x82
!x92 !x19 x12
x83 !x7 !x101
x50 !x91 !x75
!x53 !x63 !x12
x28 x38 !x10
!x64 x92 !x91
!x67 x16 x87
!x13 !x80 x29
!x2 x22 x15
!x78 !x39 x92
x51 x1 x3
!x12 !x80 !x74
x80 !x29 x59
x29 x67 !x79
!x79 !x32 x54
!x69 !x55 !x78
!x24 x21 !x73
x17 x100 x99
!x30 x18 x57
x68 x9 x65
!x79 x32 !x26
x92 x37 x73
x40 !x89 !x93
!x60 !x58 x55
x28 x85 x41
!x66 x65 !x33
!x72 x69 x21
!x100 !x49 !x90
!x59 !x62 x72
!x73 !x35 x55
x76 x94 x29
x59 !x93 !x95
x69 !x81 !x32
!x98 !x98 x79
!x20 x28 x72
!x58 !x13 x58
x46 !x30 x44
x73 x91 x42
x52 !x55 x75
!x29 x5 !x38
!x4 !x19 x87
!x67 !x41 x43
x72 x6 x101
x70 x31 !x71
!x72 !x78 !x37
x36 !x74 !x51
!x79 x34 x101
!x58 x25 !x22
!x81 !x39 !x13
x95 !x100 x22
!x41 x17 x68
!x38 !x26 x7
!x17 x32 !x10
x20 x9 !x82
!x90 x57 !x58
!x42 !x86 x48
x74 x34 x14
x23 x90 !x37
x36 !x16 !x95
x91 x80 !x63
!x86 !x58 x44
!x33 !x39 !x84
x82 !x26 !x21
x17 !x11 !x14
x95 x93 !x100
!x43 !x4 !x80
!x75 !x87 x27
!x4 !x47 !x20
!x90 x16 x87
x39 !x46 !x41
x72 !x25 !x90
x57 !x86 !x7
!x20 !x20 x26
x93 !x16 !x101
!x93 !x31 x41
x80 !x100 x84
x88 !x12 !x101
!x80 !x69 x44
x49 !x93 !x62
x68 !x92 x38
!x37 !x26 x12
x98 !x21 !x79
x7 x18 x83
!x84 !x95 x44
!x62 !x90 x33
x59 x7 !x73
!x3 !x64 !x86
!x25 x86 !x69
!x70 !x85 !x49
!x99 !x94 !x12
!x9 !x51 x18
!x5 !x9 x70
x40 !x99 !x63
!x36 !x61 x16
!x66 !x11 x101
x45 !x66 !x1
x33 x101 x42
x43 !x69 !x7
x52 x11 x46
x78 !x42 x75
!x59 x31 x88
x27 x81 !x68
!x1 !x2 x60
!x66 x70 x3
!x32 x66 x63
x31 x71 !x69
!x10 x49 !x22
!x40 x70 !x45
!x85 x65 x27
x22 !x93 x47
!x13 !x20 x80
!x91 !x51 !x92
x59 x50 x34
!x25 !x73 !x83
x17 !x75 !x52
!x84 x79 x11
x33 !x38 !x100
!x50 !x21 x65
!x51 x60 x71
x26 x84 !x45
!x87 !x24 !x9
x101 x58 x19
!x43 !x82 x97
x32 !x65 !x39
!x85 !x53 x75
x45 x91 x39
x49 !x71 !x73
!x34 x8 !x89
x53 x53 !x81
!x44 x33 x92
!x74 !x21 !x42
x82 !x74 x3
!x30 !x47 x87
x54 !x89 !x18
x37 x84 x25
!x7 !x93 x65
!x66 x32 !x71
x19 x78 x99
!x49 !x91 !x76
x1 !x16 !x98
!x95 !x87 x32
!x6 x89 !x72
!x36 !x101 !x60
x47 !x59 x37
x76 x92 !x79
x83 !x53 !x35
x46 x19 x92
x43 !x55 !x36
!x63 !x7 !x74
!x59 x6 !x23
x71 x11 x21
!x59 x29 x30
x63 x8 !x52
!x10 !x24 x76
!x97 x87 x70
x98 !x87 x38
x42 !x84 x51
x36 x44 x72
x35 !x75 !x83
!x80 !x26 x46
x41 x3 !x41
!x7 !x82 x4
!x6 !x56 x30
x38 x5 !x65
x69 x67 !x37
x65 x61 x19
x13 x51 x91
!x31 !x97 !x77
x100 !x51 !x79
!x54 !x5 !x59
x97 !x22 x52
!x63 !x78 x74
!x38 !x97 !x25
x56 x92 x90
!x84 !x95 !x19
x27 !x53 !x14
!x39 !x87 x90
!x98 x20 x93
x21 x7 x51
x56 !x44 !x68
!x50 !x72 !x7
!x44 x98 !x5
x31 !x65 x76
!x1 x21 x50
!x81 !x15 x7
!x18 x74 x40
x88 x84 x55
x56 x46 !x53
x10 x9 !x11
!x68 x31 x97
x32 !x10 x79
x42 x70 x83
x47 x86 x25
!x76 x23 x77
!x66 !x74 !x42
x6 !x77 x35
x58 x28 x9
x48 x9 !x37
!x28 x26 x21
